anio,mes,porcentaje
2016,1,7.40
2016,2,14.80
2016,3,22.20
2016,4,29.61
2016,5,37.01
2016,6,44.41
2016,7,51.81
2016,8,59.21
2016,9,66.61
2016,10,74.01
2016,11,81.41
2016,12,100.00
2016,13,100.00
2016,14,100.00
2016,15,100.00
2016,16,100.00
2016,17,100.00
2016,18,100.00
2017,1,13.81
2017,2,27.62
2017,3,34.93
2017,4,42.02
2017,5,49.11
2017,6,56.19
2017,7,63.28
2017,8,70.37
2017,9,77.46
2017,10,84.54
2017,11,91.51
2017,12,100.00
2017,13,100.00
2017,14,100.00
2017,15,100.00
2017,16,100.00
2017,17,100.00
2017,18,100.00
2018,1,23.63
2018,2,39.69
2018,3,45.85
2018,4,52.01
2018,5,58.16
2018,6,64.32
2018,7,69.21
2018,8,67.90
2018,9,76.97
2018,10,86.04
2018,11,95.11
2018,12,100.00
2018,13,100.00
2018,14,100.00
2018,15,100.00
2018,16,100.00
2018,17,100.00
2018,18,100.00
2019,1,8.30
2019,2,16.60
2019,3,27.49
2019,4,38.30
2019,5,49.11
2019,6,59.91
2019,7,70.72
2019,8,79.15
2019,9,86.99
2019,10,94.82
2019,11,97.33
2019,12,99.83
2019,13,99.83
2019,14,99.83
2019,15,99.83
2019,16,99.83
2019,17,99.83
2019,18,99.83
2020,1,8.33
2020,2,16.67
2020,3,25.00
2020,4,33.33
2020,5,40.83
2020,6,50.00
2020,7,58.33
2020,8,66.67
2020,9,75.00
2020,10,83.33
2020,11,91.67
2020,12,100.00
2020,13,100.00
2020,14,100.00
2020,15,100.00
2020,16,100.00
2020,17,100.00
2020,18,100.00
2021,1,1914850.00
2021,2,3829700.00
2021,3,5744550.00
2021,4,7659400.00
2021,5,9574250.00
2021,6,11489100.00
2021,7,13403950.00
2021,8,15318800.00
2021,9,17233650.00
2021,10,0.00
2021,11,0.00
2021,12,0.00
2021,13,0.00
2021,14,0.00
2021,15,0.00
2021,16,0.00
2021,17,0.00
2021,18,0.00
