anionro,historicomes,valor
2018,1,443604166.7
2018,2,442119466.7
2018,3,412383233.3
2018,4,212183650
2018,5,225720566.7
2018,6,86.603
2018,7,87.559
2018,8,92.093
2018,9,93.746
2018,10,96.818
2018,11,96.404
2018,12,98.603
2018,13,99.815
2018,14,99.869
2018,15,99.868
2018,16,99.868
2018,17,99.868
2018,18,99.868
2019,1,688090650
2019,2,747216450
2019,3,753174350
2019,4,512019733.3
2019,5,80.896
2019,6,84.996
2019,7,87.693
2019,8,88.019
2019,9,93.338
2019,10,95.685
2019,11,95.604
2019,12,99.396
2019,13,99.809
2019,14,99.841
2019,15,99.989
2019,16,99.989
2019,17,99.989
2019,18,99.989
2020,1,85604450
2020,2,89345500
2020,3,92452850
2020,4,106159925
2020,5,119385350
2020,6,41.137
2020,7,82.527
2020,8,83.363
2020,9,83.641
2020,10,91.217
2020,11,96.066
2020,12,95.821
2020,13,99.755
2020,14,99.594
2020,15,99.781
2020,16,99.781
2020,17,99.781
2020,18,99.781
2021,1,25.849
2021,2,66.691
2021,3,66.674
2021,4,71.118
2021,5,74.438
2021,6,79.319
2021,7,80.922
2021,8,80.839
2021,9,83.667
2021,10,83.658
2021,11,104.44
2021,12,110.506
2021,13,110.819
2021,14,110.815
2021,15,111.112
2021,16,111.096
2021,17,111.096
2021,18,111.096
2022,1,85.133
2022,2,94.154
2022,3,102.566
2022,4,100.096
2022,5,105.092
2022,6,96.128
2022,7,96.844
2022,8,94.662
2022,9,94.563
2022,10,93.175
2022,11,97.102
2022,12,98.032
2022,13,99.568
2022,14,99.643
2022,15,99.697
2022,16,99.697
2022,17,99.697
2022,18,99.697
