historicomes,historicocredvig,historicoejecomp,historicoporccomp,anionro,historicoindice,historicotransformado
1,123000000,0,0.00,2017,1480,false
2,128000000,17000000,13.28,2017,1480,false
3,140000000,33000000,23.57,2017,1480,false
4,140000000,46000000,32.86,2017,1480,false
5,140000000,58000000,41.43,2017,1480,false
6,140000000,68000000,48.57,2017,1480,false
7,140000000,78000000,55.71,2017,1480,false
8,150000000,91000000,60.67,2017,1480,false
9,150000000,103000000,68.67,2017,1480,false
10,150000000,115000000,76.67,2017,1480,false
11,150000000,127000000,84.67,2017,1480,false
12,150000000,140000000,93.33,2017,1480,false
13,150000000,150000000,100.00,2017,1480,false
14,150000000,150000000,100.00,2017,1480,false
15,150000000,150000000,100.00,2017,1480,false
16,150000000,150000000,100.00,2017,1480,false
17,150000000,150000000,100.00,2017,1480,false
18,150000000,150000000,100.00,2017,1480,false
1,12000000,0,0.00,2019,1480,false
2,12000000,3000000,25.00,2019,1480,false
3,12000000,6000000,50.00,2019,1480,false
4,12000000,11000000,91.67,2019,1480,false
5,15000000,14000000,93.33,2019,1480,false
6,18000000,17000000,94.44,2019,1480,false
7,18000000,19000000,105.56,2019,1480,false
8,18000000,19000000,105.56,2019,1480,false
9,20000000,19000000,95.00,2019,1480,false
10,21000000,19000000,90.48,2019,1480,false
11,24000000,23000000,95.83,2019,1480,false
12,25000000,23000000,92.00,2019,1480,false
13,25000000,24000000,96.00,2019,1480,false
14,25000000,25000000,100.00,2019,1480,false
15,25000000,25000000,100.00,2019,1480,false
16,25000000,25000000,100.00,2019,1480,false
17,25000000,25000000,100.00,2019,1480,false
18,25000000,25000000,100.00,2019,1480,false
1,3000000,0,,2020,1480,false
2,9000000,2000000,22.22,2020,1480,false
3,14000000,6000000,42.86,2020,1480,false
4,18000000,12000000,66.67,2020,1480,false
5,21000000,15000000,71.43,2020,1480,false
6,25000000,18000000,72.00,2020,1480,false
7,28000000,22000000,78.57,2020,1480,false
8,31000000,25000000,80.65,2020,1480,false
9,31000000,28000000,90.32,2020,1480,false
10,33000000,31000000,93.94,2020,1480,false
11,35000000,33000000,94.29,2020,1480,false
12,37000000,35000000,94.60,2020,1480,false
13,37000000,37000000,100.00,2020,1480,false
14,37000000,37000000,100.00,2020,1480,false
15,37000000,37000000,100.00,2020,1480,false
16,37000000,37000000,100.00,2020,1480,false
17,37000000,37000000,100.00,2020,1480,false
18,37000000,37000000,100.00,2020,1480,false
1,3000000,0,0.00,2021,1480,false
2,8000000,3000000,37.50,2021,1480,false
3,13000000,7000000,53.85,2021,1480,false
4,16000000,12000000,75.00,2021,1480,false
5,20000000,15000000,75.00,2021,1480,false
6,24000000,19000000,79.17,2021,1480,false
7,26000000,23000000,88.46,2021,1480,false
8,28000000,26000000,92.86,2021,1480,false
9,30000000,27000000,90.00,2021,1480,false
10,32000000,30000000,93.75,2021,1480,false
11,35000000,32000000,91.43,2021,1480,false
12,38000000,35000000,92.11,2021,1480,false
13,38000000,38000000,100.00,2021,1480,false
14,38000000,38000000,100.00,2021,1480,false
15,38000000,38000000,100.00,2021,1480,false
16,38000000,38000000,100.00,2021,1480,false
17,38000000,38000000,100.00,2021,1480,false
18,38000000,38000000,100.00,2021,1480,false
1,4000000,0,0.00,2022,1480,false
2,8000000,4000000,50.00,2022,1480,false
3,14000000,8000000,57.14,2022,1480,false
4,17000000,14000000,82.35,2022,1480,false
5,20000000,17000000,85.00,2022,1480,false
6,24000000,20000000,83.33,2022,1480,false
7,27000000,23000000,85.19,2022,1480,false
8,30000000,27000000,90.00,2022,1480,false
9,34000000,30000000,88.24,2022,1480,false
10,43000000,34000000,79.07,2022,1480,false
11,43000000,39000000,90.70,2022,1480,false
12,46000000,43000000,93.48,2022,1480,false
13,46000000,46000000,100.00,2022,1480,false
14,46000000,46000000,100.00,2022,1480,false
15,46000000,46000000,100.00,2022,1480,false
16,46000000,46000000,100.00,2022,1480,false
17,46000000,46000000,100.00,2022,1480,false
18,46000000,46000000,100.00,2022,1480,false
