historicomes,historicoporccomp,anionro,historicoindice
15,100.0,2022,4880
16,100.0,2022,4880
6,40.0,2022,4880
5,40.0,2022,4880
4,40.0,2022,4880
3,20.0,2022,4880
17,100.0,2022,4880
18,100.0,2022,4880
7,60.0,2022,4880
2,20.0,2022,4880
1,0.0,2022,4880
8,60.0,2022,4880
9,60.0,2022,4880
10,80.0,2022,4880
11,80.0,2022,4880
12,100.0,2022,4880
13,100.0,2022,4880
14,100.0,2022,4880
8,75.0,2021,4880
18,100.0,2021,4880
17,100.0,2021,4880
16,100.0,2021,4880
15,100.0,2021,4880
14,100.0,2021,4880
13,100.0,2021,4880
12,100.0,2021,4880
11,100.0,2021,4880
10,100.0,2021,4880
1,0.0,2021,4880
2,0.0,2021,4880
3,25.0,2021,4880
4,25.0,2021,4880
5,50.0,2021,4880
6,50.0,2021,4880
7,75.0,2021,4880
9,75.0,2021,4880
